zelfstandig naamwoord	zelfstandige naamwoorden
vogel	vogels
inktvis	inktvissen
kwaad	
huismus	huismussen
waarde	waarden
vrachtboot	vrachtboten
huisdier	huisdieren
bouillon	bouillons
tin	
deksel	deksels
hengst	hengsten
wijk	wijken
el	ellen
handboei	handboeien
beeld	beelden
horzel	horzels
jachthond	jachthonden
hommel	hommels
tennis	
daas	dazen
arrowroot	arrowroots
vat	
vat	
Arubaan	Arubanen
autobus	autobussen
baby	baby's
aandeel	aandelen
bril	brillen
bouwkunde	
heilbot	heilbotten
hoofdluis	hoofdluizen
aantal	aantallen
rekenkunde	
patio	patio's
papegaai	papegaaien
wit	witten
wit	
bus	bussen
vering	veringen
kaaiman	kaaimannen
enveloppe	enveloppen
vlo	vlooien
ruitensproeier	ruitensproeiers
bok	bokken
schokdemper	schokdempers
guppy	guppy's
ruitenwisser	ruitenwissers
bed	bedden
harp	harpen
harpoen	harpoenen
albatros	albatrossen
knop	knoppen
berin	berinnen
geluid	geluiden
zijde	
meel	
aasgier	aasgieren
kapmeeuw	kapmeeuwen
kemphaan	kemphanen
kolibrie	kolibries
kokmeeuw	kokmeeuwen
voorwerp	voorwerpen
hemelsblauw	
regeling	regelingen
kust	kusten
bloedhond	bloedhonden
adder	adders
kuddedier	kuddedieren
kwast	
paar	paren
flamingo	flamingo's
zweefvliegtuig	zweefvliegtuigen
kameleon	kameleons
hamster	hamsters
herkauwer	herkauwers
referaat	referaten
leeuw	leeuwen
ijsvogel	ijsvogels
landdier	landdieren
landschildpad	landschildpadden
lastdier	lastdieren
bal	ballen
bal	bals
broer	broers
knaagdier	knaagdieren
watervliegtuig	watervliegtuigen
kikkervis	kikkervissen
jakobsschelp	jakobsschelpen
kwikstaart	kwikstaarten
kleinbeeld	kleinbeelden
mus	mussen
kater	katers
kruik	kruiken
korfbal	
waterleiding	waterleidingen
hagedis	hagedissen
verzoek	verzoeken
berggeit	berggeiten
lemming	lemmingen
haan	hanen
avond	avonden
waterpomptang	waterpomptangen
kanarie	kanaries
kraanvogel	kraanvogels
krielkip	krielkippen
slagader	slagaders
meerkoet	meerkoeten
lapjeskat	lapjeskatten
sarcasme	sarcasmen
dal	
dal	
eekhoorn	eekhoorns
koala	koala's
krokodil	krokodillen
lintworm	lintwormen
ka	ka's
